,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response,city
1,1,1,4,1,0,0,0.0,22,4.484442207642407,0,C5
3,1,1,3,2,0,15,3.0,19,4.2499317566341945,0,C24
7,1,1,4,4,1,9,4.0,17,4.467519313989927,1,C1
8,1,1,3,2,0,14,3.0,1,4.43589530663102,0,C15
9,1,1,3,1,1,7,4.0,18,4.32429892112704,1,C1
11,1,1,3,2,1,3,3.0,13,4.398689821884568,0,C27
30,1,1,2,2,1,3,4.0,17,4.345883212931713,0,C2
33,0,1,1,1,1,2,3.0,22,4.011350491968417,0,C20
36,0,1,3,1,0,5,3.0,11,4.334091688202155,0,C2
39,0,1,3,2,1,3,3.0,18,4.35349307314731,1,C3
48,1,1,3,3,1,8,4.0,17,4.45117215751254,1,C2
49,1,1,4,4,1,7,4.0,21,4.500960609995949,0,C1
58,1,1,4,3,1,0,0.0,21,4.387425422788231,0,C25
63,1,1,4,4,1,5,3.0,8,4.516297339095703,0,C1
69,0,1,2,2,1,0,0.0,22,4.0893751608160995,0,C25
74,0,1,2,2,1,1,3.0,14,4.223755453657241,0,C2
81,1,1,4,4,1,0,0.0,22,4.42595136014556,0,C2
84,1,1,2,1,1,0,0.0,18,4.2196264343955,0,C7
88,1,1,4,3,1,15,3.0,7,4.383671773821113,1,C1
90,1,1,2,2,1,0,0.0,11,4.133794300604513,0,C2
102,1,1,3,3,1,15,3.0,18,4.383456296524753,0,C1
103,0,1,2,2,1,10,4.0,2,4.018700498666243,0,C2
105,1,1,2,2,1,9,3.0,21,4.225061042518245,0,C3
106,1,1,4,2,0,0,0.0,22,4.529430354366986,0,C2
114,0,1,2,2,1,1,1.0,17,4.2554895980755365,0,C10
135,0,1,1,1,1,5,1.0,15,4.064832219738574,0,C15
136,1,1,3,1,0,1,1.0,22,4.44085872616257,0,C16
137,1,1,4,3,1,0,0.0,5,4.578391625931904,0,C1
145,1,1,3,3,1,1,3.0,7,4.396352805580201,0,C4
146,0,1,1,1,1,0,0.0,5,3.8553979966540686,1,C16
